,comments,like_count,reply_count,author_name,author_url_profile
0,Koi Akshay Kumar ki cutlets kharid lo yar please ....please guys..abhi tak sell nahi hui,1,0,Vivek Pal,http://www.youtube.com/channel/UCkO9TBrTdqA2lQRtKy0yRhA
1,India best bowling attack <br />Mc and wildermut hold the beer mate,0,0,VIVEKSWAR KHANDAI,http://www.youtube.com/channel/UCKjYkLjru1PSLXi5--vWU4Q
2,Australia won the series by 4-0,0,0,niks rajput,http://www.youtube.com/channel/UCzkwT_aMmAEKdYuls6AgEPg
3,Where&#39;s day 4 match,0,0,StatuS world,http://www.youtube.com/channel/UCx02tEw2aaYuBx_zi4Xrzww
4,Who feel bored after akshay kumar ads several time.,0,0,Affan Imam,http://www.youtube.com/channel/UC6A0JzYxixf9VJu7zYb6EHg
5,Why Australia A playing with team India<br />Aussie underestimating Indian Team,0,1,Dawa 24,http://www.youtube.com/channel/UCfxze4nVW-hvbEOs0cc31Gw
6,Rohit,0,0,Lalit Sahu,http://www.youtube.com/channel/UCDj3wYWND9L594pY26gIAcg
7,Join my channel,0,0,commodity live research,http://www.youtube.com/channel/UCTn5CavyAybCCkL-EGZ3EmQ
8,Thakur ke gane Thakur ji gane,0,0,SV editz zone,http://www.youtube.com/channel/UCJbREXX6qx5gJAKWybBeI1Q
9,"I was told that every achievement begins with a decision to try, Ignorance destroy so many opportunities, I&#39;m a victim but i was convinced by the best trading manager in forex on Instagram @ <b>Ryanburnnet_fxtrade</b> with a start up investment of €6,000 and get return profits of €41,055",0,0,Micheal Burton,http://www.youtube.com/channel/UC_bwbOsZYuOjcYkG0CsvVsQ
10,Draw match 👍👍👍,1,0,jaswant Kumar,http://www.youtube.com/channel/UCIieeRKHs1CwQEnjsFH4hLA
11,❤🇮🇳❤<br />Jai hind,0,0,P2 Gaming Live,http://www.youtube.com/channel/UCfxHRAA_6lwq7hLb77APjKg
12,I think most of the viewers and subscribers of this channel are from India or Indian. And when there is a video related to Indian team then it views crosses million but in case of  Aus team it is rare.😅,0,1,Tonmoy JD,http://www.youtube.com/channel/UCHhRu5nyoWTXsa2oD263pmw
13,Wildermuth has got the parts. Needs proper guidance and he will go a long way.,0,2,Amitava Bhattacharyya,http://www.youtube.com/channel/UCn3mYBzBUcfMmxV05qOCX-Q
14,Not long till the Test series now! Who&#39;s excited?? 🔥 🏏,0,0,Players' Lounge,http://www.youtube.com/channel/UC4aVo2eBnDyagUeqtPRV0aA
15,​,0,0,heath ledger,http://www.youtube.com/channel/UCXa7Na7IDFsQdnPYnYjqyiw
16,Had KL Rahul &amp; Kohli skipped the dead rubber in this same ground (3rd T20I).....then possibly India could have had a better outing....but competent Aus A were hit by injuries...but India were put under pressure by getting out for below 200 in FIRST INNINGS......,0,0,CFL,http://www.youtube.com/channel/UC4dXItmdcgk9c-V-TGKV1dA
17,"Wildermutt, Macdermott… Are these players from Hogwarts?",0,0,Sanket Admane,http://www.youtube.com/channel/UCfZxbXJmKhp_QGxStnwZMEQ
18,Hii❤️❤️😭,0,0,oo oo,http://www.youtube.com/channel/UCgLWyXkfv3ixZPJPwHTx_Gw
19,Love from kashmir 🧡,1,0,Kamran Ahad,http://www.youtube.com/channel/UCvyo0bAcWn6gslioaFHU4Mg
20,Cameron green n Jack wildermuth..,0,0,Yashwanth Pasaladi,http://www.youtube.com/channel/UCRvmIs_LKS25TudTFa0wgVA
21,Is wildermuth a batting allrounder or bowling allrounder?,0,0,Yashwanth Pasaladi,http://www.youtube.com/channel/UCRvmIs_LKS25TudTFa0wgVA
22,Thanks India for showing no skills against bowling .now I can bet on Aussies for sure although the odd s are only 1.4 compared to 5 for India .Even the gamblers have written them off completely !!,0,0,Dhanraj Wankhade,http://www.youtube.com/channel/UC1erhYwyc-GZLXq_BUDuGkA
23,Wildermuth in warmups and in bbl too,0,1,Yashwanth Pasaladi,http://www.youtube.com/channel/UCRvmIs_LKS25TudTFa0wgVA
24,Shame on Indian bowlers .can&#39;t get the Aussie A Squad ..I am not sure whether we are looking at a innings defeat every match or would India be able to draw any when the big boys are out !,0,0,Dhanraj Wankhade,http://www.youtube.com/channel/UC1erhYwyc-GZLXq_BUDuGkA
25,Where is ashwin,0,0,Harsh Anand,http://www.youtube.com/channel/UCoc1roBsDvfeKDtR_H_WrWA
26,"well played australia from carey,  mcdermott ,and wildermuth",1,0,vikash bhati,http://www.youtube.com/channel/UCWz2D_wQklUIdrKmNDCxJlw
27,Can you guys please show the milestones all the time? so what if its a single we wanna see the 50s and 100s<br />thyx,0,0,cs:bongo,http://www.youtube.com/channel/UCAsc4x12YZR2IdXCLPlro2g
28,This is old test match,1,1,SHRUJAL TEJ,http://www.youtube.com/channel/UC30kmNluIzIcsYQnV2pk35g
29,24 patties,1,0,HELPING BOY,http://www.youtube.com/channel/UCKVupFo7pz1Bhkoa-Po2M2g
30,Subscribe My Channel for Cricket Highlights ❤🥺,0,0,Cricket Highlights,http://www.youtube.com/channel/UCGCeH3ZNamuCFqA0bD2wYcg
31,1. Mayank Agarwal<br />2. S Gill<br />3. C Pujara<br />4. V Kohli<br />5. A rahane<br />6. H Vihari<br />7. R Pant<br />8. R Ashwin<br />9. U Yadav<br />10. M Shami<br />11. J Bumrah,0,0,Rahul Singh,http://www.youtube.com/channel/UCZ-9oTR_TU5dp0S46BWbqAw
32,tq for dis highlight bro,0,0,Aryan Singh,http://www.youtube.com/channel/UC9eo5yp5pPXkQrdI9zDbAYw
33,😂,0,0,Prajwal Chaudhari,http://www.youtube.com/channel/UCOFM43TLvlp3l5HmwZCEpRg
34,Hdhd,0,0,Angad Kumar,http://www.youtube.com/channel/UCkd003OEnl5ksKphPBfh_ag
35,I&#39;m irritated by the comments like <br />&#39;Who is irritated by Akshay Kumar ads&#39;<br />😭😭,0,0,Nithish Kohli,http://www.youtube.com/channel/UC1M3P_vZILEXFqbGbA8TZBQ
36,Aus🇭🇲🇭🇲🇭🇲,0,0,ebenez nz,http://www.youtube.com/channel/UChQO7Mw7RNGJQ1GvEGrFXnA
37,This   matches  are  not   looking      test   matches   pant  centurey  strike   rate   100  +,1,0,Dhananjay Naturals,http://www.youtube.com/channel/UCgQi2mWF_mjItd9MYU4aMoQ
38,"Joe Burns is my favourite batsman...and I&#39;m West Indian! I first watched him on youtube a couple years ago. Then searched for first: any test match that he played in, and second his other first class matches. Not enough available. Exciting bat, in my opinion. I once commented &#39;Go Lara on them, Joe!&#39; Then, he was off the Aussie team (why?), and didn&#39;t go to England that last time. I know he didn&#39;t do well in this match, but I hope he is given a chance in the test series. Come on Joe!",1,0,Edmal Jones,http://www.youtube.com/channel/UCH9S_giwstrppTDRrP6tBVQ
39,Dummy pitches ??,0,0,Vinayak Alagwadi,http://www.youtube.com/channel/UC4nVrxs3sV92eKWGq3tsTYQ
40,McDermott batting is underrated.,2,0,RIVA BLAIRE,http://www.youtube.com/channel/UCmBQ_4BA0z4okTZBGtL7OrQ
41,Cant understand why shami cones around the wicket with new ball. He should try to attack with new ball from over the wicket,0,0,Kulwinder Cheema,http://www.youtube.com/channel/UCIt1tRb4lswYdkj9he-AtOA
42,Who will win Test Match Series of India&#39;s tour of Australia?<br />Like <br />Odd likes = Australia<br />Even likes = India <br /><br /><br />Lets see,0,0,Harish Chawla,http://www.youtube.com/channel/UCPJpcvhG714U7TL27gdsBgw
43,Thanks for showing everything apart from the actual hundreds,1,0,Andy Richards,http://www.youtube.com/channel/UCG0xzvuypkytE9ZSYce3hlg
44,Technically these two players are quite similar. Having same style of batting.,0,0,Ankit Chauhan,http://www.youtube.com/channel/UC7X8SDEfFP9E23ef4HzmDBw
45,Somebody please create compilation of all the beautiful connections of bat and ball,0,0,Rajeeb Barma,http://www.youtube.com/channel/UCehooT78QpLzkpGB7CJWKtw
46,Hello friends what I said plese do frist download disiny +hostor and serch big Boss Telugu and vote for Syed sohel plese this is the last week,0,0,satyanarayana kutikuppala,http://www.youtube.com/channel/UCYUX3YzlzH3tonlQmQ4ko2Q
47,Badala le liya ast . Bihari are pant ki bara bar kar diya ast,1,0,Ashwini Kumar nayak,http://www.youtube.com/channel/UCtAHVW3EthmGqgsM1it21rw
48,India&#39;s most profitable projects in 2020！Join  InsStar right now  and everyone who join has already made money everyday. Please contact InsStar’s customer service WhatsApp ：+919553595870  for details,0,0,Amy Taylor,http://www.youtube.com/channel/UCseYJJa04_45sl29nrmWc4g
49,Shami is best...❤️❤️❤️,0,0,Talib Hussain,http://www.youtube.com/channel/UCTkh7deLZz2IgDJVWbih52w
50,what&#39;s with their camera???<br />some lag.......,2,0,Sebastian Thomas,http://www.youtube.com/channel/UCY-NE2Rm8GqmBsNLiD5QTLQ
51,FivE hundred like,0,0,DESIRED GOAL,http://www.youtube.com/channel/UCDSBv5nEf2Po8qk4IdMIQ3A
52,Karo gaadi forward<br />Karo India forward,0,1,Huzefa N,http://www.youtube.com/channel/UCML5lcZ9pk5JQY1PicCR_gg
53,Why match is ended in 3 day,0,1,Mogad Mogili,http://www.youtube.com/channel/UCjj8RMoFxSuXWl091v7Te_w
54,India entirely need a spinner,1,0,Kadambini Tripathy,http://www.youtube.com/channel/UCup8QG_8sqCYyL_ODCYnBOw
55,This number 9814467227 call me whatspp koi dikat ya problm ho x,0,0,Rahul Mani,http://www.youtube.com/channel/UCOqQ2J2p9Jz7IXjmlmtWW-A
56,is ths a trial match?,0,1,Muthu Kumar,http://www.youtube.com/channel/UCgxMpz-k8lZIomWNh6YoEFg
57,"<a href=""https://www.youtube.com/watch?v=5hUBXYUndh0&amp;t=6m02s"">6:02</a> International level pe Aisi bowling kaun karta hai bhai? Gully cricket mein bhi koi bhi 6 marega aisi bowling par.",0,1,Mohammad Alam Baig,http://www.youtube.com/channel/UCLpdEs4JDxjkQErATPLfmZQ
58,no.1 bowler wicketless against duplicate AUS means Mr polio is no more.,0,0,ListenWithout Music,http://www.youtube.com/channel/UCJ2BNtl1_r3wZDf4_gT1XRA
59,"<a href=""https://www.youtube.com/watch?v=5hUBXYUndh0&amp;t=2m48s"">2:48</a> Great sync and a great laugh 😂😂😂😂",2,0,ANANT BHARGAVA,http://www.youtube.com/channel/UCFAe85NZbZed18p--gUVTNg
60,Macdomert cover drive treat full to watch amazing shots,1,0,tasreef eriyal,http://www.youtube.com/channel/UC6adzX4FGyuwNbNh12t3qYw
61,Too quick cricket aus🤯,0,0,Faraz Karim,http://www.youtube.com/channel/UC_kvsZhMURWd2adPHz9yUfw
62,70% subscribers are indians 😂Did you know @cricketaustralia,0,0,Harsh soni,http://www.youtube.com/channel/UCbcm2PUTUdTp7pqiIEDCUWw
63,Brought YouTube premium just because i don&#39;t want to see Akshay&#39;s ad.,0,0,Rakesh Nayak,http://www.youtube.com/channel/UCQ2G4MC2wayoVP2eWFLdTyg
64,saini replaced surya kumar yadav,0,0,shibhav shrey,http://www.youtube.com/channel/UC4LzcB5FwVvcTlD9BaCB7sw
65,↑↑↑↑He helpedd mee solvee thee problemm off lackk off fundss,1,0,i managed to earn money via onlinepayjob. com,http://www.youtube.com/channel/UCpVIC5IeGfvQy9sQ3nOYQIQ
66,Both sounds the same,0,0,No.55 Gaming,http://www.youtube.com/channel/UCw-XNsn8EP61W0MSdQGnYvg
67,Yeh video lagg raha thaa me jaise cricket 2007 pc game khel raha hu itna lagg kese,1,0,tejas shrirame,http://www.youtube.com/channel/UCtb0qiB9J9x9S5lF8mEkReQ
68,If Harris and burns open India will win just non sense selection they took henriques for Abbot and no replacement for green and puckovski and henriques likely not bowling due to injury concerns and is he better batsman than khawaja and marsh and these both should be replaced in for pucovski and green if they don&#39;t they will definitely struggles if openers failed again,0,0,Sathwik S G,http://www.youtube.com/channel/UCZhixr_XENtgVjT43SvM6Qw
69,all is indian views go and check 1.2 month old  video viewss 🤣😘,0,0,cick meme,http://www.youtube.com/channel/UCXDmBlEbskUYBrDOyjz6TBw
70,I think india win series,0,0,Danish Khan,http://www.youtube.com/channel/UCwsUNuo1Bxqstj2MZTXs34Q
71,"With Pucovski, Green and Warner out, (picking from the current squad listed) I think our batting line-up should be:<br /><br />Harris<br />Wade<br />Labuschagne<br />Smith<br />Head<br />Paine<br />Neser<br />Cummins<br />Starc<br />Lyon<br />Hazelwood<br /><br />Pucovski and Warner in for both Harris and Wade when fit, and Green in for Neser when fit.",1,0,John Chataway,http://www.youtube.com/channel/UCE3Niqq8MwUpsSYlIVz46vA
72,get ready guyss..... steve smith 5 din hi batting  karne wala haiii... xddddddddddd,0,0,Soukarya Ghosh,http://www.youtube.com/channel/UC6ZSvOnt7LCBYLec87W2U4g
73,All other country people my brother sohel is participating in bigboss 4 telugu <br />Download hotstar app today and search bigboss 4 telugu and vote for sohel plz make him win,0,0,Vishal Vempati,http://www.youtube.com/channel/UC70sFETNeVTzcYRH-QtY8yA
74,Saini is the worst bowler in indian team...,0,0,Anshuman Shukla,http://www.youtube.com/channel/UChl9BJAmrbb1-3RUzm907Zg
75,Navdeep Saini didn&#39;t deserve in any format of Indian team ! 😡,1,1,Tanish Raj,http://www.youtube.com/channel/UCxpWcQlGNzza4iHnyq7BNmw
76,Support farmers of india,1,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
77,Support farmers,1,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
78,Support farmers,1,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
79,Support farmers,0,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
80,Support farmers,0,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
81,Support farmers,0,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
82,Support farmers,0,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
83,No Farmers No food,0,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
84,Support famers of india,0,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
85,Support farmers,0,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
86,No farmer No food,0,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
87,Support Farmer,0,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
88,Support Farmer,0,0,Sherbir Bajwa,http://www.youtube.com/channel/UCbr73O_eFGcVObE4slRrjFQ
89,India falto team,0,1,Omro Chin,http://www.youtube.com/channel/UCufyA43J3PuWo2_wG0rvwwg
90,Cricket Australia is better than bcci. Bcci is bullshit cricket club of india,0,0,Vijay pratap Singh,http://www.youtube.com/channel/UCRSZe6-x3iHGTRxX4UhBvuA
91,Pink Kokkabura is Australian version of India pink stumper ball! Nothing much for bowler unless its new or pitch is uncertain.,0,0,sanjay kumar,http://www.youtube.com/channel/UCV6jrC7EJPg3CRgsxaqu05w
92,Great exposure for young Aussies..they played very well. classi innings 👏👏👏,1,0,നാണപ്പൻ റോക്ക്സ്റ്റാർ,http://www.youtube.com/channel/UCWqPKaicbLnY4eA6DpRQpRw
93,"McDermott ,wildermuth and Carey can chance in 1st test<br />Hit like",1,0,Mango lover Gamerz,http://www.youtube.com/channel/UCmXOQ4lx5jK_QvcLJt8Q0vA
94,R Harris<br />Joe burns<br />S Smith<br />M labuschangne<br />McDermott<br />A Carey <br />Wildermuth<br />M Starc<br />P Cummins<br />N Lyon<br />J Hazeleood,0,3,princey Ragnarok,http://www.youtube.com/channel/UCkWIiH7EdOrRF5q9EqonGgA
